Genera,Abundance
Simonsiella,0
Simonsiella,7.30E-06
Simonsiella,0
Simonsiella,2.53E-07
Simonsiella,0
Simonsiella,0
Simonsiella,0
Simonsiella,1.80E-06
Simonsiella,0
Simonsiella,1.16E-06
Simonsiella,3.21E-07
Simonsiella,0
Simonsiella,7.64E-06
Simonsiella,1.48E-06
Simonsiella,1.82E-06
Simonsiella,0
Simonsiella,6.78E-06
Treponema,0.009063444
Treponema,8.47E-05
Treponema,0.000334857
Treponema,8.65E-05
Treponema,0.000111134
Treponema,0.000284285
Treponema,6.50E-05
Treponema,0.000100096
Treponema,0.000345846
Treponema,3.72E-05
Treponema,0.000147562
Treponema,0.00138737
Treponema,0.000249092
Treponema,0.00397657
Treponema,0.000431856
Treponema,9.43E-05
Treponema,0.001233564
Campylobacter,0.009340106
Campylobacter,0.010649626
Campylobacter,0.026002388
Campylobacter,0.003827919
Campylobacter,0.001086086
Campylobacter,0.004554242
Campylobacter,0.013826621
Campylobacter,0.001175904
Campylobacter,0.010605934
Campylobacter,0.015249902
Campylobacter,0.000648474
Campylobacter,0.00104021
Campylobacter,0.005024619
Campylobacter,0.00434391
Campylobacter,0.014690116
Campylobacter,0.00126061
Campylobacter,0.023647824
Helicobacter,0.004326992
Helicobacter,0.002372832
Helicobacter,0.009186734
Helicobacter,0.000530949
Helicobacter,0.003783621
Helicobacter,0.00470207
Helicobacter,0.002761426
Helicobacter,0.002937957
Helicobacter,0.004918694
Helicobacter,0.001550198
Helicobacter,0.001119759
Helicobacter,0.003023983
Helicobacter,0.010553533
Helicobacter,0.002535976
Helicobacter,0.002493836
Helicobacter,0.004015093
Helicobacter,0.004676698
Paracoccus,9.96E-05
Paracoccus,9.42E-05
Paracoccus,0.000334857
Paracoccus,3.01E-05
Paracoccus,4.29E-05
Paracoccus,5.12E-05
Paracoccus,7.15E-05
Paracoccus,4.87E-05
Paracoccus,0.000102473
Paracoccus,2.27E-05
Paracoccus,2.82E-05
Paracoccus,9.16E-05
Paracoccus,8.86E-05
Paracoccus,6.56E-05
Paracoccus,0.000954895
Paracoccus,7.20E-05
Paracoccus,0.000352447
Comamonas,8.85E-05
Comamonas,5.84E-06
Comamonas,0.00029118
Comamonas,6.75E-06
Comamonas,2.53E-06
Comamonas,0
Comamonas,8.45E-05
Comamonas,5.41E-06
Comamonas,0.000153709
Comamonas,2.90E-06
Comamonas,9.00E-06
Comamonas,5.09E-06
Comamonas,1.83E-05
Comamonas,1.48E-06
Comamonas,1.04E-05
Comamonas,2.11E-05
Comamonas,0.00062356
Pseudomonas,0.388898111
Pseudomonas,0.008912178
Pseudomonas,0.139300585
Pseudomonas,0.040411512
Pseudomonas,0.027899787
Pseudomonas,0.021719354
Pseudomonas,0.069535951
Pseudomonas,0.04298272
Pseudomonas,0.173390377
Pseudomonas,0.013104368
Pseudomonas,0.022145556
Pseudomonas,0.043252626
Pseudomonas,0.031012656
Pseudomonas,0.016395329
Pseudomonas,0.040182998
Pseudomonas,0.037946099
Pseudomonas,0.12811441
Xanthomonas,0.011763664
Xanthomonas,0.000655833
Xanthomonas,0.014748275
Xanthomonas,0.001099468
Xanthomonas,0.000548095
Xanthomonas,0.001785308
Xanthomonas,0.004801632
Xanthomonas,0.000367019
Xanthomonas,0.020103882
Xanthomonas,0.000317706
Xanthomonas,0.000681123
Xanthomonas,0.000741372
Xanthomonas,0.001812408
Xanthomonas,0.000462495
Xanthomonas,0.006819027
Xanthomonas,0.000440469
Xanthomonas,0.011095296
Agrobacterium,0.000531191
Agrobacterium,2.92E-06
Agrobacterium,0.001776199
Agrobacterium,2.73E-05
Agrobacterium,1.52E-05
Agrobacterium,2.84E-05
Agrobacterium,0.000266396
Agrobacterium,2.71E-06
Agrobacterium,0.004239812
Agrobacterium,3.48E-06
Agrobacterium,5.14E-06
Agrobacterium,1.27E-06
Agrobacterium,2.45E-05
Agrobacterium,2.21E-06
Agrobacterium,6.35E-05
Agrobacterium,6.95E-05
Agrobacterium,0.001287786
Bradyrhizobium,0.001084515
Bradyrhizobium,0.000216177
Bradyrhizobium,0.002678857
Bradyrhizobium,0.000390973
Bradyrhizobium,0.000280362
Bradyrhizobium,0.000295656
Bradyrhizobium,0.000467818
Bradyrhizobium,0.000234459
Bradyrhizobium,0.004271835
Bradyrhizobium,0.000103966
Bradyrhizobium,0.000551814
Bradyrhizobium,0.000209822
Bradyrhizobium,0.000646415
Bradyrhizobium,0.000162279
Bradyrhizobium,0.000867093
Bradyrhizobium,0.018560497
Bradyrhizobium,0.001592788
Acinetobacter,0.04107876
Acinetobacter,0.000875662
Acinetobacter,0.01525784
Acinetobacter,0.001059704
Acinetobacter,0.001005261
Acinetobacter,0.001626109
Acinetobacter,0.014073525
Acinetobacter,0.000924311
Acinetobacter,0.025387635
Acinetobacter,0.000515184
Acinetobacter,0.000687678
Acinetobacter,0.001049111
Acinetobacter,0.002984514
Acinetobacter,0.000848276
Acinetobacter,0.00474742
Acinetobacter,0.001248202
Acinetobacter,0.018103565
Neisseria,0.009948762
Neisseria,0.05309549
Neisseria,0.015709169
Neisseria,0.001527503
Neisseria,0.005799195
Neisseria,0.007254947
Neisseria,0.582582875
Neisseria,0.004559334
Neisseria,0.021218273
Neisseria,0.002537585
Neisseria,0.00189735
Neisseria,0.005716066
Neisseria,0.017492948
Neisseria,0.004536432
Neisseria,0.00427368
Neisseria,0.005247165
Neisseria,0.022698929
Psychrobacter,1.11E-05
Psychrobacter,3.65E-06
Psychrobacter,4.37E-05
Psychrobacter,7.77E-06
Psychrobacter,0
Psychrobacter,5.69E-06
Psychrobacter,6.50E-06
Psychrobacter,3.61E-06
Psychrobacter,0
Psychrobacter,1.74E-06
Psychrobacter,1.22E-06
Psychrobacter,1.27E-06
Psychrobacter,1.07E-05
Psychrobacter,2.21E-06
Psychrobacter,2.34E-06
Psychrobacter,0
Psychrobacter,4.07E-05
Eikenella,0
Eikenella,0.000151908
Eikenella,0
Eikenella,2.20E-06
Eikenella,5.05E-06
Eikenella,0.000221742
Eikenella,0
Eikenella,9.47E-05
Eikenella,0
Eikenella,1.34E-05
Eikenella,3.34E-06
Eikenella,0
Eikenella,0
Eikenella,0
Eikenella,1.04E-06
Eikenella,1.24E-06
Eikenella,6.78E-06
Citrobacter,0.000807853
Citrobacter,0.000679934
Citrobacter,0.00147046
Citrobacter,3.91E-05
Citrobacter,0.00083856
Citrobacter,0.001239481
Citrobacter,0.000422336
Citrobacter,0.000696164
Citrobacter,0.000589219
Citrobacter,0.000444324
Citrobacter,0.000154824
Citrobacter,0.00097154
Citrobacter,0.00213638
Citrobacter,0.000792216
Citrobacter,0.000300478
Citrobacter,0.000580675
Citrobacter,0.000887895
Enterobacter,0.003165012
Enterobacter,0.003928428
Enterobacter,0.009084821
Enterobacter,0.0047441
Enterobacter,0.004278675
Enterobacter,0.006106436
Enterobacter,0.003307213
Enterobacter,0.004068772
Enterobacter,0.011688303
Enterobacter,0.003206684
Enterobacter,0.0079137
Enterobacter,0.005984384
Enterobacter,0.010636054
Enterobacter,0.003966981
Enterobacter,0.02216356
Enterobacter,0.00469875
Enterobacter,0.008207944
Escherichia,0.043601917
Escherichia,0.016119043
Escherichia,0.06924264
Escherichia,0.017155772
Escherichia,0.025742769
Escherichia,0.029099386
Escherichia,0.025203696
Escherichia,0.020507983
Escherichia,0.054163278
Escherichia,0.009435935
Escherichia,0.025390434
Escherichia,0.023388184
Escherichia,0.049016012
Escherichia,0.018178184
Escherichia,0.044940824
Escherichia,0.028405911
Escherichia,0.066232886
Klebsiella,0.091032834
Klebsiella,0.004850831
Klebsiella,0.041988178
Klebsiella,0.017226267
Klebsiella,0.023866113
Klebsiella,0.006396407
Klebsiella,0.005133003
Klebsiella,0.031172279
Klebsiella,0.010625148
Klebsiella,0.005995762
Klebsiella,0.01012751
Klebsiella,0.040593606
Klebsiella,0.009262231
Klebsiella,0.009751485
Klebsiella,0.010076675
Klebsiella,0.011700347
Klebsiella,0.005862817
Shigella,0.009561436
Shigella,0.003360234
Shigella,0.014238709
Shigella,0.005063058
Shigella,0.005660277
Shigella,0.007272004
Shigella,0.019693839
Shigella,0.004534084
Shigella,0.136391292
Shigella,0.002489377
Shigella,0.004831487
Shigella,0.005021745
Shigella,0.012431653
Shigella,0.003097313
Shigella,0.047476285
Shigella,0.004278133
Shigella,0.016266775
Actinobacillus,0.000121731
Actinobacillus,6.06E-05
Actinobacillus,0.000262062
Actinobacillus,1.67E-05
Actinobacillus,5.05E-05
Actinobacillus,5.69E-05
Actinobacillus,9.75E-05
Actinobacillus,5.05E-05
Actinobacillus,9.61E-05
Actinobacillus,2.61E-05
Actinobacillus,2.51E-05
Actinobacillus,4.20E-05
Actinobacillus,0.000210887
Actinobacillus,4.35E-05
Actinobacillus,8.34E-05
Actinobacillus,0.000105464
Actinobacillus,0.000176223
Haemophilus,0.000951717
Haemophilus,0.011377762
Haemophilus,0.002096497
Haemophilus,0.000161843
Haemophilus,0.000565775
Haemophilus,0.000807369
Haemophilus,0.00053929
Haemophilus,0.005736139
Haemophilus,0.001979006
Haemophilus,0.000435612
Haemophilus,0.000207139
Haemophilus,0.000419644
Haemophilus,0.001422725
Haemophilus,0.000405697
Haemophilus,0.000631394
Haemophilus,0.000624101
Haemophilus,0.003273688
Pasteurella,5.53E-05
Pasteurella,6.79E-05
Pasteurella,0.000174708
Pasteurella,1.13E-05
Pasteurella,4.29E-05
Pasteurella,7.96E-05
Pasteurella,3.25E-05
Pasteurella,5.59E-05
Pasteurella,6.40E-05
Pasteurella,2.32E-05
Pasteurella,1.36E-05
Pasteurella,4.45E-05
Pasteurella,0.000172683
Pasteurella,4.06E-05
Pasteurella,1.77E-05
Pasteurella,6.33E-05
Pasteurella,4.07E-05
Bacteroides,0.028994168
Bacteroides,0.00424612
Bacteroides,0.0906735
Bacteroides,0.00901753
Bacteroides,0.005660277
Bacteroides,0.007414146
Bacteroides,0.022331813
Bacteroides,0.004507933
Bacteroides,0.041110805
Bacteroides,0.003073097
Bacteroides,0.009958097
Bacteroides,0.006253974
Bacteroides,0.011189251
Bacteroides,0.003000684
Bacteroides,0.009765661
Bacteroides,0.006152918
Bacteroides,0.12319371
Butyrivibrio,1.11E-05
Butyrivibrio,2.70E-05
Butyrivibrio,2.91E-05
Butyrivibrio,9.96E-06
Butyrivibrio,2.53E-06
Butyrivibrio,0
Butyrivibrio,6.50E-06
Butyrivibrio,8.12E-06
Butyrivibrio,0
Butyrivibrio,8.71E-06
Butyrivibrio,3.15E-06
Butyrivibrio,1.27E-05
Butyrivibrio,1.53E-05
Butyrivibrio,1.18E-05
Butyrivibrio,6.37E-06
Butyrivibrio,1.36E-05
Butyrivibrio,2.03E-05
Porphyromonas,0.000309861
Porphyromonas,0.00310681
Porphyromonas,0.000101913
Porphyromonas,0.002495944
Porphyromonas,0.001237633
Porphyromonas,0.002700705
Porphyromonas,6.50E-06
Porphyromonas,0.00138331
Porphyromonas,3.84E-05
Porphyromonas,0.000451875
Porphyromonas,0.005080593
Porphyromonas,0.000944836
Porphyromonas,0.000828267
Porphyromonas,0.000573139
Porphyromonas,0.00342935
Porphyromonas,0.0010472
Porphyromonas,0.000433781
Prevotella,0.001991966
Prevotella,0.107859777
Prevotella,0.002926361
Prevotella,0.242726144
Prevotella,0.001121447
Prevotella,0.011922902
Prevotella,0.000857666
Prevotella,0.002646686
Prevotella,0.001825297
Prevotella,0.143291925
Prevotella,0.008808131
Prevotella,0.0009016
Prevotella,0.001291303
Prevotella,0.012769872
Prevotella,0.001205684
Prevotella,0.000486377
Prevotella,0.011678189
Roseburia,0
Roseburia,1.31E-05
Roseburia,0
Roseburia,3.80E-06
Roseburia,0
Roseburia,0
Roseburia,0
Roseburia,0
Roseburia,0
Roseburia,5.81E-07
Roseburia,3.21E-07
Roseburia,0
Roseburia,0
Roseburia,1.48E-06
Roseburia,1.43E-06
Roseburia,0
Roseburia,0
Fusobacterium,0.027621925
Fusobacterium,0.027967866
Fusobacterium,0.000320298
Fusobacterium,0.040911815
Fusobacterium,0.000406651
Fusobacterium,0.004406413
Fusobacterium,8.45E-05
Fusobacterium,0.013879095
Fusobacterium,0.0001409
Fusobacterium,4.01E-05
Fusobacterium,0.001367259
Fusobacterium,0.000586231
Fusobacterium,9.32E-05
Fusobacterium,0.265064089
Fusobacterium,0.000184319
Fusobacterium,7.32E-05
Fusobacterium,0.009048394
Desulfovibrio,0.000774653
Desulfovibrio,0.00020011
Desulfovibrio,0.004061963
Desulfovibrio,0.000239767
Desulfovibrio,0.000116186
Desulfovibrio,0.000267228
Desulfovibrio,0.000578275
Desulfovibrio,0.000221835
Desulfovibrio,0.004412735
Desulfovibrio,0.000172502
Desulfovibrio,0.00019737
Desulfovibrio,0.000128437
Desulfovibrio,0.00066781
Desulfovibrio,9.81E-05
Desulfovibrio,0.007706932
Desulfovibrio,0.000176188
Desulfovibrio,0.0016809
Acidaminococcus,0
Acidaminococcus,1.46E-06
Acidaminococcus,0
Acidaminococcus,8.44E-08
Acidaminococcus,0
Acidaminococcus,0
Acidaminococcus,0
Acidaminococcus,0
Acidaminococcus,0
Acidaminococcus,3.48E-06
Acidaminococcus,0
Acidaminococcus,0
Acidaminococcus,0
Acidaminococcus,0
Acidaminococcus,0
Acidaminococcus,0
Acidaminococcus,0
Megasphaera,2.21E-05
Megasphaera,0.01063648
Megasphaera,0
Megasphaera,1.27E-05
Megasphaera,2.27E-05
Megasphaera,3.98E-05
Megasphaera,0
Megasphaera,1.71E-05
Megasphaera,0
Megasphaera,5.87E-05
Megasphaera,4.56E-06
Megasphaera,1.02E-05
Megasphaera,1.53E-05
Megasphaera,8.85E-06
Megasphaera,2.03E-05
Megasphaera,1.99E-05
Megasphaera,6.78E-06
Selenomonas,0.000663989
Selenomonas,0.003394559
Selenomonas,7.28E-05
Selenomonas,0.001378409
Selenomonas,0.000128815
Selenomonas,3.41E-05
Selenomonas,1.30E-05
Selenomonas,2.71E-05
Selenomonas,4.48E-05
Selenomonas,7.55E-06
Selenomonas,0.00014467
Selenomonas,6.49E-05
Selenomonas,6.72E-05
Selenomonas,0.000255958
Selenomonas,0.000154011
Selenomonas,3.10E-05
Selenomonas,6.78E-05
Capnocytophaga,0.007182143
Capnocytophaga,0.004959649
Capnocytophaga,0.000276621
Capnocytophaga,2.04E-05
Capnocytophaga,0.000204588
Capnocytophaga,0.000437798
Capnocytophaga,3.25E-05
Capnocytophaga,6.67E-05
Capnocytophaga,3.84E-05
Capnocytophaga,3.14E-05
Capnocytophaga,3.85E-05
Capnocytophaga,0.000203464
Capnocytophaga,0.000191021
Capnocytophaga,0.00028325
Capnocytophaga,5.13E-05
Capnocytophaga,8.81E-05
Capnocytophaga,0.000860784
Afipia,0.000110665
Afipia,5.26E-05
Afipia,0.000131031
Afipia,1.19E-05
Afipia,1.77E-05
Afipia,0
Afipia,0.000136447
Afipia,6.31E-06
Afipia,0.000134496
Afipia,5.81E-06
Afipia,1.59E-05
Afipia,2.54E-06
Afipia,8.56E-05
Afipia,1.18E-05
Afipia,0.000664824
Afipia,0.000337486
Afipia,0.000108445
Peptostreptococcus,8.85E-05
Peptostreptococcus,9.71E-05
Peptostreptococcus,0
Peptostreptococcus,1.35E-06
Peptostreptococcus,3.79E-05
Peptostreptococcus,0.000187628
Peptostreptococcus,3.90E-05
Peptostreptococcus,3.61E-06
Peptostreptococcus,0
Peptostreptococcus,1.05E-05
Peptostreptococcus,1.29E-06
Peptostreptococcus,7.88E-05
Peptostreptococcus,1.53E-06
Peptostreptococcus,2.21E-06
Peptostreptococcus,5.59E-06
Peptostreptococcus,0
Peptostreptococcus,0.000447336
Ruminococcus,0
Ruminococcus,1.46E-05
Ruminococcus,0
Ruminococcus,9.12E-06
Ruminococcus,1.77E-05
Ruminococcus,1.71E-05
Ruminococcus,6.50E-06
Ruminococcus,5.41E-06
Ruminococcus,1.28E-05
Ruminococcus,4.07E-06
Ruminococcus,1.70E-05
Ruminococcus,6.36E-06
Ruminococcus,9.17E-06
Ruminococcus,5.90E-06
Ruminococcus,1.93E-05
Ruminococcus,6.20E-06
Ruminococcus,2.71E-05
Staphylococcus,0.037692418
Staphylococcus,0.070399124
Staphylococcus,0.064146988
Staphylococcus,0.136132611
Staphylococcus,0.122917177
Staphylococcus,0.127279964
Staphylococcus,0.040654685
Staphylococcus,0.102384813
Staphylococcus,0.138427939
Staphylococcus,0.040345795
Staphylococcus,0.229818954
Staphylococcus,0.110512729
Staphylococcus,0.135077891
Staphylococcus,0.080293371
Staphylococcus,0.209514769
Staphylococcus,0.13484681
Staphylococcus,0.029436085
Streptococcus,0.102143576
Streptococcus,0.306230418
Streptococcus,0.226334333
Streptococcus,0.245445899
Streptococcus,0.434414284
Streptococcus,0.407306118
Streptococcus,0.072986108
Streptococcus,0.419385644
Streptococcus,0.111631303
Streptococcus,0.335791733
Streptococcus,0.360755225
Streptococcus,0.454064193
Streptococcus,0.402779433
Streptococcus,0.331518761
Streptococcus,0.295801739
Streptococcus,0.380897788
Streptococcus,0.06180019
Enterococcus,0.008908513
Enterococcus,0.002332664
Enterococcus,0.013175902
Enterococcus,0.000901238
Enterococcus,0.003627023
Enterococcus,0.004679327
Enterococcus,0.002891375
Enterococcus,0.002414932
Enterococcus,0.00682725
Enterococcus,0.001419514
Enterococcus,0.001099386
Enterococcus,0.002823063
Enterococcus,0.00856997
Enterococcus,0.002320588
Enterococcus,0.003493738
Enterococcus,0.003180063
Enterococcus,0.007428494
Gemella,1.11E-05
Gemella,0.002712434
Gemella,0
Gemella,1.14E-05
Gemella,3.28E-05
Gemella,2.84E-05
Gemella,0
Gemella,0.000322833
Gemella,1.28E-05
Gemella,0.00176568
Gemella,0.0004378
Gemella,3.94E-05
Gemella,1.22E-05
Gemella,1.18E-05
Gemella,1.47E-05
Gemella,1.12E-05
Gemella,0.00093534
Atopobium,8.85E-05
Atopobium,0.009370093
Atopobium,0.000203826
Atopobium,0.000632175
Atopobium,6.06E-05
Atopobium,6.82E-05
Atopobium,1.30E-05
Atopobium,4.60E-05
Atopobium,0.000256182
Atopobium,0.027697367
Atopobium,0.00035213
Atopobium,6.49E-05
Atopobium,0.000415662
Atopobium,7.82E-05
Atopobium,0.000129687
Atopobium,7.44E-05
Atopobium,0.000244002
Clostridium,0.001958766
Clostridium,0.002924959
Clostridium,0.003275777
Clostridium,0.003235845
Clostridium,0.006425589
Clostridium,0.007652945
Clostridium,0.045111951
Clostridium,0.00671636
Clostridium,0.001357765
Clostridium,0.001997426
Clostridium,0.007401797
Clostridium,0.004551235
Clostridium,0.005755083
Clostridium,0.001801295
Clostridium,0.004312833
Clostridium,0.004377394
Clostridium,0.002670462
Lactobacillus,0.012947777
Lactobacillus,0.002192441
Lactobacillus,0.015316076
Lactobacillus,0.005256391
Lactobacillus,0.003041041
Lactobacillus,0.003655902
Lactobacillus,0.002670461
Lactobacillus,0.003004687
Lactobacillus,0.012898763
Lactobacillus,0.001586208
Lactobacillus,0.005652459
Lactobacillus,0.003278313
Lactobacillus,0.006186027
Lactobacillus,0.002949787
Lactobacillus,0.007146561
Lactobacillus,0.004265726
Lactobacillus,0.11516199
Actinomyces,0.000995983
Actinomyces,0.032235165
Actinomyces,0.000931776
Actinomyces,0.000111441
Actinomyces,0.000181856
Actinomyces,0.000113714
Actinomyces,0.000682235
Actinomyces,0.000125346
Actinomyces,0.002023838
Actinomyces,0.042239254
Actinomyces,1.30E-05
Actinomyces,0.000349704
Actinomyces,8.40E-05
Actinomyces,0.000198423
Actinomyces,0.000264707
Actinomyces,1.61E-05
Actinomyces,0.007882608
